Model,Age,KM,FuelType,HP,MetColor,Automatic,CC,Doors,Weight,Price
TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,40,80425,Diesel,90,1,0,2000,5,1205,14750
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,34,78677,Petrol,110,1,1,1600,5,1105,11790
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,40,78425,Petrol,110,1,0,1600,5,1075,11450
TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,33,78108,Diesel,90,1,0,2000,3,1170,13500
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,77321,Petrol,110,1,0,1600,5,1075,10950
TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,33,75699,Diesel,69,0,0,1900,3,1105,13500
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,75697,Petrol,97,1,0,1400,3,1025,10950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,74846,Petrol,97,1,0,1400,3,1025,10950
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,74319,Petrol,110,1,0,1600,5,1075,12950
TOYOTA Corolla 1.6 Terra LB 4/5-Doors,43,74285,Petrol,110,1,0,1600,5,1075,11950
TOYOTA Corolla 1.6 HB LINEA SOL 4/5-Doors,44,74172,Petrol,110,1,0,1600,5,1615,12450
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,40,73042,Petrol,110,1,0,1598,5,1075,11950
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,44,71793,CNG,110,1,0,1600,4,1067,14950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,35,71200,Petrol,110,1,0,1600,5,1075,12450
TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,38,67805,Petrol,110,1,0,1600,5,1075,12950
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,35,65988,Petrol,110,1,0,1600,3,1040,11950
TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,34,65345,Petrol,97,1,0,1400,5,1060,11690
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,42,64564,Petrol,110,1,0,1600,5,1080,12450
TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,36,63459,Petrol,97,1,0,1400,5,1060,12750
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,63451,Petrol,97,0,0,1400,3,1025,11925
TOYOTA Corolla LIFTBACK 1.6-16v Linea Luna 4/5-Doors,33,62000,Petrol,110,1,0,1600,5,1075,12950
TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,42,61300,Petrol,97,1,0,1400,3,1030,11950
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,41,61200,Petrol,110,1,0,1600,3,1045,12900
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,41,61000,Petrol,110,0,0,1600,5,1075,11900
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,38,60829,Petrol,110,1,0,1600,5,1075,11650
TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,44,60500,Petrol,110,0,0,1600,5,1075,10950
TOYOTA Corolla 1.9 D HB SOL 2/3-Doors,35,59500,Diesel,69,1,0,1900,3,1110,13950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,44,59000,Petrol,110,0,1,1600,5,1110,13950
TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,40,58954,Petrol,110,1,0,1600,5,1080,11950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,38,58798,Petrol,110,1,0,1600,5,1075,10950
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,38,58363,Petrol,110,1,0,1600,3,1055,12450
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,43,58277,Petrol,110,1,0,1600,3,1045,11950
TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,33,57711,Diesel,90,1,0,2000,3,1165,13500
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,57269,Petrol,110,1,0,1600,5,1075,11690
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,39,56001,Petrol,110,1,0,1600,5,1075,13500
TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,42,55968,Petrol,110,0,0,1600,3,1050,11950
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,39,55678,Petrol,110,1,0,1600,4,1030,12900
TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,43,55539,Petrol,110,1,0,1600,5,1085,13500
TOYOTA Corolla 1.6 GL LB 4/5-Doors,42,55400,Petrol,110,0,0,1600,5,1075,11750
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,33,55350,Petrol,110,0,0,1600,5,1075,11750
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,43,54600,Petrol,110,0,0,1600,4,1030,10850
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,43,53773,Petrol,110,1,0,1600,5,1075,11750
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,42,53719,Petrol,110,1,1,1600,5,1105,14950
TOYOTA Corolla 1.6 Terra 5-Doors Liftback 4/5-Doors,39,53644,Petrol,110,1,0,1600,5,1075,9940
TOYOTA Corolla 1.6-16v Linea Terra LB 4/5-Doors,42,53350,Petrol,110,0,0,1600,5,1075,12900
TOYOTA Corolla 1.6I Luna liftback 4/5-Doors,38,53000,Petrol,110,1,0,1600,5,1075,13500
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,52084,Petrol,97,1,0,1400,3,1025,11750
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,52000,Petrol,97,0,0,1400,3,1025,11950
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,51945,Petrol,110,1,0,1600,5,1075,13450
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,51732,Petrol,97,1,0,1400,3,1025,11950
TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,39,50873,Petrol,110,1,0,1600,5,1075,12495
TOYOTA Corolla 1.6 Linea Terra Sedan 4/5-Doors,41,50856,Petrol,110,0,0,1600,4,1030,13500
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,40,50640,Petrol,110,1,0,1600,5,1075,12750
TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,39,50000,Petrol,97,1,0,1400,5,1060,12000
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,49500,Petrol,110,1,0,1600,5,1075,11950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,44,49332,Petrol,110,1,0,1600,5,1080,12495
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,34,49291,Petrol,110,1,0,1600,3,1040,12450
TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,40,48952,Diesel,90,1,0,2000,5,1205,14750
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,39,48945,Petrol,110,0,0,1600,3,1040,10950
TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,33,48928,Diesel,69,1,0,1900,3,1105,13500
TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,38,48197,Petrol,110,1,0,1600,5,1075,12950
TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,35,48052,Diesel,69,1,0,1900,3,1105,13500
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,34,48011,Petrol,110,1,0,1600,4,1030,13450
TOYOTA Corolla 1.6 Terra LB 4/5-Doors,43,48000,Petrol,110,1,0,1600,5,1075,13500
TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,41,47350,Petrol,110,1,0,1600,5,1075,11480
TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,39,46821,Petrol,97,1,0,1400,5,1060,13450
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,39,46694,Petrol,110,0,0,1600,3,1040,11495
TOYOTA Corolla 1.4 VVTI L.Terra HB 4/5-Doors,43,46515,Petrol,97,0,0,1400,5,1025,12750
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,38,46327,Petrol,110,1,0,1600,3,1055,14990
TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,35,46304,Petrol,97,1,0,1400,5,1060,12950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,40,45886,Petrol,110,1,0,1600,5,1080,12950
TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,39,45713,Petrol,97,1,0,1400,5,1085,12850
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,40,45600,Petrol,110,1,1,1600,5,1105,13950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,41,45287,Petrol,110,1,0,1600,5,1075,11950
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,39,45081,Petrol,110,1,0,1600,5,1075,12950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,40,44830,Petrol,110,1,0,1600,5,1075,11700
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,37,44757,Petrol,97,0,0,1400,3,1025,9950
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,44,44218,Petrol,97,1,0,1400,5,1060,11895
TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,43,43632,Petrol,110,1,0,1600,5,1075,12950
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,36,43427,Petrol,110,1,0,1600,3,1040,12500
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,39,43254,Petrol,110,1,0,1600,5,1075,13875
TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,35,43000,Petrol,110,0,0,1600,3,1050,10500
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,42823,Petrol,110,1,0,1600,5,1075,12295
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,42,42560,Petrol,110,1,0,1600,5,1080,13950
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,38,41754,Petrol,110,0,0,1600,3,1040,10950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,44,41499,CNG,110,1,0,1600,5,1103,12950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,40,41339,Petrol,110,1,0,1600,5,1080,12850
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,35,41000,Petrol,110,1,0,1600,5,1075,13995
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,39,40000,Petrol,110,1,0,1600,3,1055,13750
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,37,39757,Petrol,110,1,0,1600,5,1075,12750
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,41,39659,Petrol,110,1,0,1600,3,1045,12500
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,43,39650,Petrol,110,0,0,1600,3,1055,13950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,39,39524,Petrol,97,1,0,1398,3,1025,11500
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,44,39516,Petrol,97,1,0,1400,5,1060,13950
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,41,39439,Petrol,97,0,0,1400,5,1060,11895
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,44,39000,Petrol,97,1,0,1400,3,1025,9950
TOYOTA Corolla 1.6 16v VVTi Terra Comfort 2/3-Doors,42,38932,Petrol,110,1,0,1600,3,1040,13500
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,37,38812,Petrol,97,0,0,1400,3,1025,11450
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,42,38665,Petrol,110,1,0,1600,5,1075,12450
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,40,38653,Petrol,110,1,0,1600,5,1080,12950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,44,38461,Petrol,110,1,0,1600,5,1080,13995
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,42,38078,Petrol,97,0,0,1400,3,1025,11750
TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,39,37782,Petrol,97,1,0,1400,5,1060,11650
TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,43,37576,Petrol,97,0,0,1400,3,1030,9950
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,41,37533,Petrol,110,1,0,1600,5,1075,13950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,44,37389,Petrol,110,1,0,1600,5,1080,12950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,38,37320,Petrol,97,1,0,1400,3,1025,10950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,42,37000,Petrol,97,1,0,1400,3,1025,9900
TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,44,37000,Petrol,110,0,0,1600,4,1075,11950
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,40,36566,Petrol,110,0,0,1600,5,1090,11990
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,36,36269,Petrol,110,1,0,1600,5,1075,10750
TOYOTA Corolla 1.6 VVTi Linea terra 4/5-Doors,37,36074,Petrol,110,1,1,1600,5,1075,13950
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,44,36066,Petrol,110,1,0,1600,3,1040,11250
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,39,34599,Petrol,110,1,0,1600,5,1075,12950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,41,34000,Petrol,110,1,0,1600,5,1075,11950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,42,33623,Petrol,97,1,0,1400,3,1025,10950
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,33,33591,Petrol,110,1,0,1600,5,1075,12950
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,35,33258,Petrol,110,1,0,1600,5,1075,12950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,43,33113,Petrol,110,1,0,1600,5,1075,11695
TOYOTA Corolla 1.6v VVT-i Linea Sol 4/5-Doors,41,33000,Petrol,110,1,1,1600,5,1075,11000
 TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,35,32941,Petrol,110,1,0,1600,5,1080,13950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,38,32781,Petrol,110,0,0,1600,5,1075,11950
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,40,32532,Petrol,110,1,0,1600,3,1040,11750
TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,34,32431,Petrol,97,1,0,1400,5,1060,12400
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,35,32000,Petrol,110,0,0,1600,3,1040,12500
TOYOTA Corolla 1.6I LIFTBACK 4/5-Doors,33,31000,Petrol,110,1,0,1600,5,1075,12900
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,41,30989,Petrol,110,0,0,1600,3,1045,12200
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,43,30742,Petrol,110,1,0,1600,3,1040,12750
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,42,30190,Petrol,110,1,0,1600,5,1075,11950
TOYOTA Corolla Liftback 1.6 VVTI 4/5-Doors,41,29716,Petrol,116,1,0,1600,5,1075,11900
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,44,29716,Petrol,110,1,1,1600,3,1070,11950
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,42,29640,Petrol,110,0,0,1600,3,1055,14950
 TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,41,29056,Petrol,97,1,0,1400,5,1060,11950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,33,28715,Petrol,110,1,0,1600,5,1075,12950
 TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,41,28571,Petrol,110,0,0,1600,5,1090,14950
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,40,28362,Petrol,110,1,0,1600,3,1040,13450
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,28150,Petrol,110,1,0,1600,5,1075,13750
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,43,27301,Petrol,110,1,0,1600,3,1040,12950
 TOYOTA Corolla 1.6 Terra LB Comf. 4/5-Doors,33,27240,Petrol,110,1,0,1600,5,1075,12750
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,39,27170,Petrol,97,1,0,1400,5,1060,11895
 TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,42,27141,Petrol,97,1,0,1400,5,1060,9950
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,38,26262,Petrol,110,1,0,1600,5,1075,12450
TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,38,26000,Petrol,97,1,0,1400,5,1060,12500
TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,43,25228,Petrol,110,1,0,1600,3,1045,14950
 TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,39,25062,Petrol,110,1,0,1600,5,1080,13750
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,39,24723,Petrol,110,1,1,1600,4,1060,12695
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,33,24650,Petrol,110,1,0,1600,3,1055,14990
 TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,43,24553,Petrol,110,1,0,1600,5,1080,12750
 TOYOTA Corolla 1.6 VVTi Terra Comfort 4/5-Doors,41,24475,Petrol,110,1,0,1600,5,1030,14350
TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,39,24444,Petrol,110,1,0,1600,3,1040,12950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,35,24011,Petrol,97,0,0,1400,3,1025,11500
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,24000,Petrol,97,1,0,1400,3,1025,11950
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,40,23616,Petrol,110,1,0,1600,5,1075,13450
TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,38,22865,Petrol,110,1,0,1600,5,1075,12900
TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,41,22780,Petrol,86,1,0,1300,5,1035,10500
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,35,21904,Petrol,97,0,0,1400,3,1025,10950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,41,21651,Petrol,97,0,0,1400,3,1025,11950
TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,37,21500,Petrol,110,1,0,1600,5,1030,11450
 TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,44,21027,Petrol,110,1,0,1600,5,1080,13250
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,39,18500,Petrol,110,0,0,1600,4,1030,10250
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,35,18000,Petrol,110,1,0,1600,5,1075,13995
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,40,17051,Petrol,97,0,0,1400,5,1060,11950
TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,33,16512,Petrol,97,1,0,1400,5,1085,13250
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,40,16325,Petrol,110,1,0,1600,5,1080,12950
TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,38,16000,Petrol,97,1,0,1400,5,1060,11750
TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,39,12000,Petrol,110,1,0,1600,5,1075,11500
TOYOTA Corolla 1.4 VVTI LB 4/5-Doors,43,10000,Petrol,97,1,0,1400,5,1060,13500
 TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,53,216000,Diesel,69,0,0,1900,3,1110,6500
TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,51,198167,Diesel,69,0,0,1900,4,1095,6400
TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,53,176000,Diesel,69,0,0,1900,3,1105,7000
TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,54,174139,Diesel,72,1,0,2000,4,1100,7750
TOYOTA Corolla 1.9 D Sedan 4/5-Doors,45,174000,Diesel,69,1,0,1900,5,1095,8900
TOYOTA Corolla 1.6 VVTi Linea terra 2/3-Doors,55,150000,CNG,110,1,0,1600,3,1075,8500
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,54,149329,Diesel,72,1,0,2000,5,1135,8950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,51,146736,Petrol,110,1,0,1600,5,1080,9900
TOYOTA Corolla 1.9 D LIFTB LUNA 4/5-Doors,53,143513,Diesel,69,0,0,1900,5,1140,10250
TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,48,142130,CNG,110,0,0,1600,5,1119,9250
TOYOTA Corolla 1.9 D WGN LINEA TERRA Stationwagen,48,140700,Diesel,69,1,0,1900,5,1110,7750
 TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,54,138394,Diesel,69,1,0,1900,4,1095,9450
TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,55,137000,Diesel,72,1,0,2000,5,1135,7750
TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,52,135258,Diesel,69,1,0,1900,5,1140,8250
TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,49,131364,Petrol,110,1,0,1600,5,1075,9950
TOYOTA Corolla 1.8D Stationwagen,56,129155,Diesel,69,0,0,1800,5,1110,4450
 TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,50,126110,Petrol,110,0,0,1600,3,1055,9950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,48,119742,Petrol,110,1,0,1600,5,1080,9000
TOYOTA Corolla 1.9 D LB LINEA SOL 4/5-Doors,53,117913,Diesel,69,1,0,1900,5,1110,9950
TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,47,117430,Diesel,90,1,0,2000,3,1165,12450
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,55,117175,Petrol,110,1,0,1600,4,1035,10500
TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,54,115558,Petrol,110,1,0,1600,4,1035,10750
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,53,115113,Petrol,97,1,0,1400,3,1025,8950
TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,54,115046,Diesel,69,1,0,1900,5,1140,10500
TOYOTA Corolla 2.0D 4/5-Doors,56,113997,Diesel,72,1,0,2000,5,1135,5150
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,49,107859,Petrol,97,0,0,1400,5,1060,10950
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,52,104805,Petrol,97,1,0,1400,3,1025,9450
TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,54,103454,Petrol,110,1,0,1600,5,1075,9950
TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,51,103018,Diesel,69,0,0,1900,5,1140,10950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,47,102352,Petrol,110,1,0,1600,5,1080,11900
TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,50,102030,Petrol,97,1,0,1400,5,1060,9950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,101352,Petrol,110,0,0,1600,5,1080,11950
TOYOTA Corolla 1.6 16v TERRA 4/5-Doors,50,99865,Petrol,110,1,0,1600,4,1035,7900
 TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,52,99323,Petrol,110,1,0,1600,3,1055,10950
TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,48,98100,Diesel,69,1,0,1900,5,1140,8950
 TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,51,98040,Petrol,110,0,0,1600,5,1080,11950
TOYOTA Corolla 1.6 HB SOL 2/3-Doors,49,97600,Petrol,110,1,0,1600,3,1045,10900
 TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,55,97234,Petrol,110,0,0,1600,5,1080,9950
 TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,51,96135,Diesel,72,0,0,2000,3,1115,9950
TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,54,96100,Petrol,110,1,0,1600,5,1080,10950
 TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,55,94401,Diesel,72,0,0,2000,3,1115,8950
 TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,55,94122,Petrol,86,1,0,1300,3,1015,8950
TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,49,91340,Petrol,110,1,0,1600,3,1055,10500
TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,53,90200,Petrol,97,0,0,1400,3,1025,8950
TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,53,90097,Diesel,69,1,0,1900,5,1140,9250
 TOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,48,89049,Petrol,97,1,0,1400,5,1060,11500
 TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,52,89000,Petrol,110,0,0,1600,5,1075,9750
 TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,45,87274,Petrol,110,1,0,1600,3,1040,9950
 TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,49,86221,Petrol,110,0,0,1600,3,1045,11450
